# wavelength     flux_z                     flux12
1000         	1.7062750000000e-05	6.3190000000000e-06
1001         	1.7805634070859e-05	6.5928752101721e-06
1002         	1.8523406877267e-05	6.8576037095969e-06
1003         	1.9204441748247e-05	7.1088777239356e-06
1004         	1.9837112012817e-05	7.3423894788495e-06
1005         	2.0409791000000e-05	7.5538312000000e-06
1006         	2.0910852038815e-05	7.7388951130483e-06
1007         	2.1328668458283e-05	7.8932734436558e-06
1008         	2.1651613587424e-05	8.0126584174837e-06
1009         	2.1868060755260e-05	8.0927422601933e-06
1010         	2.1966383290810e-05	8.1292171974460e-06
1011         	2.1934954523095e-05	8.1177754549029e-06
1012         	2.1762147781136e-05	8.0541092582255e-06
1013         	2.1436336393954e-05	7.9339108330750e-06
1014         	2.0945893690568e-05	7.7528724051128e-06
1015         	2.0279193000000e-05	7.5066862000000e-06
1016         	1.9433778884086e-05	7.1944369885470e-06
1017         	1.8443880835928e-05	6.8287797221595e-06
1018         	1.7352899581444e-05	6.4257618973925e-06
1019         	1.6204235846550e-05	6.0014310108008e-06
1020         	1.5041290357166e-05	5.5718345589391e-06
1021         	1.3907463839208e-05	5.1530200383623e-06
1022         	1.2846157018595e-05	4.7610349456252e-06
1023         	1.1900770621244e-05	4.4119267772825e-06
1024         	1.1114705373073e-05	4.1217430298892e-06
1025         	1.0531362000000e-05	3.9065312000000e-06
1026         	1.0184236022841e-05	3.7786721290638e-06
1027         	1.0067202142005e-05	3.7358800381061e-06
1028         	1.0164229852802e-05	3.7722024930461e-06
1029         	1.0459288650540e-05	3.8816870598035e-06
1030         	1.0936348030527e-05	4.0583813042976e-06
1031         	1.1579377488072e-05	4.2963327924479e-06
1032         	1.2372346518483e-05	4.5895890901738e-06
1033         	1.3299224617069e-05	4.9321977633949e-06
1034         	1.4343981279139e-05	5.3182063780304e-06
1035         	1.5490586000000e-05	5.7416625000000e-06
1036         	1.6721188509552e-05	6.1959523110977e-06
1037         	1.8010659476052e-05	6.6718164566162e-06
1038         	1.9332049802349e-05	7.1593341977229e-06
1039         	2.0658410391292e-05	7.6485847955852e-06
1040         	2.1962792145728e-05	8.1296475113705e-06
1041         	2.3218245968505e-05	8.5926016062461e-06
1042         	2.4397822762473e-05	9.0275263413795e-06
1043         	2.5474573430479e-05	9.4245009779381e-06
1044         	2.6421548875372e-05	9.7736047770891e-06
1045         	2.7211800000000e-05	1.0064917000000e-05
1046         	2.7824590571953e-05	1.0290804307845e-05
1047         	2.8264035817787e-05	1.0452782961829e-05
1048         	2.8540463828801e-05	1.0554656623162e-05
1049         	2.8664202696294e-05	1.0600228953056e-05
1050         	2.8645580511563e-05	1.0593303612720e-05
1051         	2.8494925365907e-05	1.0537684263368e-05
1052         	2.8222565350624e-05	1.0437174566208e-05
1053         	2.7838828557013e-05	1.0295578182453e-05
1054         	2.7354043076372e-05	1.0116698773313e-05
1055         	2.6778537000000e-05	9.9043400000000e-06
1056         	2.6125938050638e-05	9.6635248185205e-06
1057         	2.5423072476800e-05	9.4041533640669e-06
1058         	2.4700066158446e-05	9.1373450666279e-06
1059         	2.3987044975534e-05	8.8742193561920e-06
1060         	2.3314134808021e-05	8.6258956627478e-06
1061         	2.2711461535867e-05	8.4034934162837e-06
1062         	2.2209151039030e-05	8.2181320467883e-06
1063         	2.1837329197467e-05	8.0809309842502e-06
1064         	2.1626121891138e-05	8.0030096586579e-06
1065         	2.1605655000000e-05	7.9954875000000e-06
1066         	2.1793049051497e-05	8.0646825997727e-06
1067         	2.2153403163012e-05	8.1977076955031e-06
1068         	2.2638811099414e-05	8.3768741862260e-06
1069         	2.3201366625572e-05	8.5844934709762e-06
1070         	2.3793163506352e-05	8.8028769487885e-06
1071         	2.4366295506624e-05	9.0143360186977e-06
1072         	2.4872856391257e-05	9.2011820797387e-06
1073         	2.5264939925118e-05	9.3457265309462e-06
1074         	2.5494639873076e-05	9.4302807713550e-06
1075         	2.5514050000000e-05	9.4371562000000e-06
1076         	2.5292469903374e-05	9.3550193934888e-06
1077         	2.4868022511150e-05	9.1979576387208e-06
1078         	2.4296036583896e-05	8.9864134001682e-06
1079         	2.3631840882180e-05	8.7408291423033e-06
1080         	2.2930764166571e-05	8.4816473295982e-06
1081         	2.2248135197635e-05	8.2293104265254e-06
1082         	2.1639282735943e-05	8.0042608975568e-06
1083         	2.1159535542060e-05	7.8269412071650e-06
1084         	2.0864222376557e-05	7.7177938198219e-06
1085         	2.0808672000000e-05	7.6972612000000e-06
1086         	2.1029745774007e-05	7.7789616827721e-06
1087         	2.1490435464387e-05	7.9492170856137e-06
1088         	2.2135265438001e-05	8.1875250966012e-06
1089         	2.2908760061708e-05	8.4733834038107e-06
1090         	2.3755443702366e-05	8.7862896953185e-06
1091         	2.4619840726834e-05	9.1057416592008e-06
1092         	2.5446475501973e-05	9.4112369835339e-06
1093         	2.6179872394641e-05	9.6822733563940e-06
1094         	2.6764555771697e-05	9.8983484658573e-06
1095         	2.7145050000000e-05	1.0038960000000e-05
1096         	2.7286213552408e-05	1.0091120181910e-05
1097         	2.7234241325767e-05	1.0071899374720e-05
1098         	2.7055662322922e-05	1.0005882476575e-05
1099         	2.6817005546718e-05	9.9176543856205e-06
1100         	2.6584800000000e-05	9.8318000000000e-06
1101         	2.6412515655147e-05	9.7680797475628e-06
1102         	2.6301386362672e-05	9.7269561749745e-06
1103         	2.6239586942624e-05	9.7040673586048e-06
1104         	2.6215292215050e-05	9.6950513748234e-06
1105         	2.6216677000000e-05	9.6955463000000e-06
1106         	2.6232315157072e-05	9.7013357231586e-06
